nb_sent	word	tag	stems
278	['мягче', 'плюш', 'флис']	['Aspect', 'Object1', 'Object2']	['мягч', 'плюш', 'флис']
279	['поиск', 'Google', 'поиск', 'Yahoo']	['Object1', 'Object1', 'Object2', 'Object2']	['поиск', 'Google', 'поиск', 'Yahoo']
283	['полезнее', 'запекать', 'жарить']	['Aspect', 'Object1', 'Object2']	['полезн', 'запека', 'жар']
285	['кроссовки', 'Adidas', 'Nike']	['CommonObj', 'Object1', 'Object2']	['кроссовк', 'Adidas', 'Nike']
291	['веб-сайтов', 'mvp', 'mvc']	['Aspect', 'Object1', 'Object2']	['веб-сайт', 'mvp', 'mvc']
294	['синдром', 'прилипалы', 'синдромом', 'Пьера', 'Робена']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['синдр', 'прилипал', 'синдром', 'пьер', 'робен']
298	['китайская', 'демократическая', 'система', 'меритократии', 'демократия', 'западного', 'образца']	['Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['китайск', 'демократическ', 'систем', 'меритократ', 'демократ', 'западн', 'образц']
300	['работать', 'Мумбаи', 'Дели']	['Aspect', 'Object1', 'Object2']	['работа', 'мумба', 'дел']
301	['ups', 'usps', 'доставки', 'посылок', 'среднего', 'и', 'крупного', 'размера']	['Object1', 'Object2', 'Aspect', 'Aspect', 'Aspect', 'Aspect', 'Aspect', 'Aspect']	['ups', 'usps', 'доставк', 'посылок', 'средн', 'и', 'крупн', 'размер']
302	['Форд', 'Тойота']	['Object1', 'Object2']	['форд', 'тойот']
304	['кисть', 'спонж']	['Object1', 'Object2']	['кист', 'спонж']
305	['производительность', 'Windows', '7', 'Windows', '8']	['Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['производительн', 'Windows', '7', 'Windows', '8']
306	['желобом', 'со', 'стоячей', 'волной', 'желобом', 'Вентури']	['Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['желоб', 'со', 'стояч', 'волн', 'желоб', 'вентур']
307	['прецизионный', 'выпрямитель', 'обычного', 'выпрямителя']	['Object1', 'Object1', 'Object2', 'Object2']	['прецизион', 'выпрямител', 'обычн', 'выпрямител']
312	['автокредит', 'автосалон', 'банк']	['Aspect', 'Object1', 'Object2']	['автокред', 'автосалон', 'банк']
313	['hadoop', 'sap']	['Object1', 'Object2']	['hadoop', 'sap']
314	['Лондон', 'Париж']	['Object1', 'Object2']	['лондон', 'париж']
315	['подключение', 'к', 'Интернету', 'проводное', 'беспроводное']	['CommonObj', 'CommonObj', 'CommonObj', 'Object1', 'Object2']	['подключен', 'к', 'интернет', 'проводн', 'беспроводн']
316	['Торонто', 'Нью-Йорк']	['Object1', 'Object2']	['торонт', 'нью-йорк']
317	['Брок', 'Леснар', 'гробовщик']	['Object1', 'Object1', 'Object2']	['брок', 'леснар', 'гробовщик']
320	['Калькутта', 'Ахмадабада']	['Object1', 'Object2']	['калькутт', 'ахмадабад']
321	['Хиллари', 'Клинтон', 'Дональд', 'Трамп']	['Object1', 'Object1', 'Object2', 'Object2']	['хиллар', 'клинтон', 'дональд', 'трамп']
322	['скейтборда', 'велосипедом']	['Object1', 'Object2']	['скейтборд', 'велосипед']
324	['был', 'первым', 'Арканзас', 'Канзас']	['Aspect', 'Aspect', 'Object1', 'Object2']	['был', 'перв', 'арканзас', 'канзас']
325	['слабые', 'стороны', 'Хиллари', 'Клинтон', 'Дональдом', 'Трампом']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['слаб', 'сторон', 'хиллар', 'клинтон', 'дональд', 'трамп']
326	['больше', 'чемпионатов', 'НБА', 'востоке', 'западе']	['Aspect', 'Aspect', 'Aspect', 'Object1', 'Object2']	['больш', 'чемпионат', 'нба', 'восток', 'запад']
328	['chromebook', 'ноутбуком']	['Object1', 'Object2']	['chromebook', 'ноутбук']
